miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41452	14842.983493	N
hsa-let-7a-2	40933	14657.141834	N
hsa-let-7a-3	41747	14948.616035	N
hsa-let-7b	208931	74813.263150	N
hsa-let-7c	31680	11343.860780	N
hsa-let-7d	16782	6009.238371	N
hsa-let-7e	4838	1732.373689	N
hsa-let-7f-1	836	299.351882	N
hsa-let-7f-2	850	304.364951	N
hsa-let-7g	251	89.877180	N
hsa-let-7i	1342	480.538547	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	7706	2759.336842	N
hsa-mir-101-1	119	42.611093	N
hsa-mir-101-2	132	47.266087	N
hsa-mir-103a-1	23524	8423.389551	Y
hsa-mir-103a-2	23751	8504.672897	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.358076	N
hsa-mir-105-2	1	0.358076	N
hsa-mir-106a	3	1.074229	N
hsa-mir-106b	2419	866.186844	N
hsa-mir-107	89	31.868801	Y
hsa-mir-10a	18056	6465.427722	N
hsa-mir-10b	21784	7800.336592	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	394	141.082107	N
hsa-mir-1181	13	4.654993	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.358076	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.716153	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	44	15.755362	N
hsa-mir-1227	4	1.432306	N
hsa-mir-1228	51	18.261897	N
hsa-mir-1229	2	0.716153	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.716153	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.716153	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.716153	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	3	1.074229	N
hsa-mir-1247	418	149.675941	N
hsa-mir-1248	41	14.681133	N
hsa-mir-1249	20	7.161528	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	1.432306	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	3.938841	N
hsa-mir-1254-2	4	1.432306	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	1.074229	N
hsa-mir-125a	12052	4315.536936	N
hsa-mir-125b-1	2269	812.475382	N
hsa-mir-125b-2	2618	937.444051	N
hsa-mir-126	422	151.108246	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.716153	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	1.074229	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	196	70.182977	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8576	3070.863322	N
hsa-mir-1269b	3	1.074229	N
hsa-mir-127	3846	1377.161886	N
hsa-mir-1270	137	49.056469	N
hsa-mir-1271	13	4.654993	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	1.432306	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	577	206.610091	N
hsa-mir-128-2	248	88.802951	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	1.074229	N
hsa-mir-1283-2	3	1.074229	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	73	26.139578	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	35	12.532674	N
hsa-mir-129-2	23	8.235758	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	1.074229	N
hsa-mir-1292	29	10.384216	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	5	1.790382	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	35	12.532674	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	233	83.431804	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	1.074229	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	159	56.934150	N
hsa-mir-1307	34150	12228.309521	N
hsa-mir-130a	204	73.047588	N
hsa-mir-130b	145	51.921080	N
hsa-mir-132	926	331.578759	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	22	7.877681	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	2.864611	N
hsa-mir-133a-2	8	2.864611	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	691	247.430802	N
hsa-mir-1343	17	6.087299	N
hsa-mir-135a-1	5	1.790382	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	4	1.432306	N
hsa-mir-136	3	1.074229	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	1258	450.460128	N
hsa-mir-140	6601	2363.662406	N
hsa-mir-141	188	67.318366	N
hsa-mir-142	40	14.323057	N
hsa-mir-143	10698	3830.701472	N
hsa-mir-144	35	12.532674	N
hsa-mir-145	4968	1778.923622	N
hsa-mir-1468	66	23.633043	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	119	42.611093	N
hsa-mir-146b	6308	2258.746016	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	7832	2804.454471	N
hsa-mir-148b	522	186.915888	N
hsa-mir-149	536	191.928958	N
hsa-mir-150	34962	12519.067569	N
hsa-mir-151a	5733	2052.852079	N
hsa-mir-151b	2	0.716153	N
hsa-mir-152	35	12.532674	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	0	0.000000	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	6	2.148458	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	8	2.864611	N
hsa-mir-155	1115	399.255201	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	53	18.978050	N
hsa-mir-15b	7688	2752.891467	N
hsa-mir-16-1	110	39.388405	N
hsa-mir-16-2	123	44.043399	N
hsa-mir-17	814	291.474201	N
hsa-mir-181a-1	8640	3093.780213	N
hsa-mir-181a-2	21113	7560.067318	N
hsa-mir-181b-1	664	237.762739	N
hsa-mir-181b-2	700	250.653489	N
hsa-mir-181c	185	66.244136	N
hsa-mir-181d	24	8.593834	N
hsa-mir-182	5003	1791.456297	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	16932	6062.949833	N
hsa-mir-184	10	3.580764	N
hsa-mir-185	92	32.943030	N
hsa-mir-186	300	107.422924	N
hsa-mir-187	17	6.087299	N
hsa-mir-188	3	1.074229	N
hsa-mir-18a	43	15.397286	N
hsa-mir-18b	1	0.358076	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	2	0.716153	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	2201	788.126186	N
hsa-mir-1910	2	0.716153	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.358076	N
hsa-mir-1915	11	3.938841	N
hsa-mir-192	129	46.191857	N
hsa-mir-193a	7322	2621.835500	N
hsa-mir-193b	825	295.413041	N
hsa-mir-194-1	40	14.323057	N
hsa-mir-194-2	79	28.288037	N
hsa-mir-195	12	4.296917	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	198	70.899130	N
hsa-mir-197	21777	7797.830057	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	229	81.999499	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	191	68.392595	Y
hsa-mir-199a-2	241	86.296416	Y
hsa-mir-199b	151	54.069538	Y
hsa-mir-19a	0	0.000000	N
hsa-mir-19b-1	6	2.148458	N
hsa-mir-19b-2	0	0.000000	N
hsa-mir-200a	2007	718.659362	N
hsa-mir-200b	1917	686.432485	N
hsa-mir-200c	334871	119909.406667	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	1768	633.079099	N
hsa-mir-203b	1	0.358076	N
hsa-mir-204	168	60.156837	N
hsa-mir-205	468	167.579762	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	7	2.506535	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	20	7.161528	N
hsa-mir-20b	3	1.074229	N
hsa-mir-21	12268	4392.881441	N
hsa-mir-210	395	141.440183	N
hsa-mir-211	5	1.790382	N
hsa-mir-2110	59	21.126508	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	2	0.716153	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	21	7.519605	N
hsa-mir-214	60	21.484585	N
hsa-mir-215	0	0.000000	N
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	2	0.716153	N
hsa-mir-217	3	1.074229	N
hsa-mir-218-1	21	7.519605	N
hsa-mir-218-2	5	1.790382	N
hsa-mir-219a-1	24	8.593834	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	16464	5895.370072	N
hsa-mir-221	1630	583.664554	N
hsa-mir-222	615	220.216994	N
hsa-mir-223	316	113.152147	N
hsa-mir-224	54	19.336126	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	6	2.148458	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	1	0.358076	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5667	2029.219035	Y
hsa-mir-23b	1957	700.755541	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1407	503.813514	N
hsa-mir-24-2	1419	508.110431	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	61238	21927.883410	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	765	273.928456	N
hsa-mir-26a-2	788	282.164214	N
hsa-mir-26b	391	140.007878	N
hsa-mir-27a	2177	779.532352	Y
hsa-mir-27b	1200	429.691696	Y
hsa-mir-28	14718	5270.168654	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	302	108.139077	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	10	3.580764	N
hsa-mir-29a	15320	5485.730655	N
hsa-mir-29b-1	13	4.654993	N
hsa-mir-29b-2	89	31.868801	N
hsa-mir-29c	158	56.576073	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	3	1.074229	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	9	3.222688	N
hsa-mir-3074	140	50.130698	N
hsa-mir-30a	52057	18640.383858	Y
hsa-mir-30b	162	58.008379	Y
hsa-mir-30c-1	1307	468.005872	Y
hsa-mir-30c-2	2125	760.912379	N
hsa-mir-30d	33200	11888.136928	N
hsa-mir-30e	17604	6303.577183	Y
hsa-mir-31	10	3.580764	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.358076	N
hsa-mir-3125	1	0.358076	N
hsa-mir-3126	1	0.358076	N
hsa-mir-3127	105	37.598023	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	2	0.716153	N
hsa-mir-3130-1	17	6.087299	N
hsa-mir-3130-2	26	9.309987	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	1	0.358076	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.358076	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	6	2.148458	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	17	6.087299	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	3	1.074229	N
hsa-mir-3155a	2	0.716153	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	0	0.000000	N
hsa-mir-3158-1	1	0.358076	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	8	2.864611	N
hsa-mir-3162	1	0.358076	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	3	1.074229	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	14	5.013070	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	2	0.716153	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	1	0.358076	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	1	0.358076	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	3	1.074229	N
hsa-mir-3188	9	3.222688	N
hsa-mir-3189	1	0.358076	N
hsa-mir-3190	2	0.716153	N
hsa-mir-3191	8	2.864611	N
hsa-mir-3192	2	0.716153	N
hsa-mir-3193	4	1.432306	N
hsa-mir-3194	2	0.716153	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	2	0.716153	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	15	5.371146	N
hsa-mir-32	22	7.877681	N
hsa-mir-3200	120	42.969170	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	7453	2668.743510	Y
hsa-mir-320b-1	24	8.593834	Y
hsa-mir-320b-2	21	7.519605	Y
hsa-mir-320c-1	7	2.506535	N
hsa-mir-320c-2	4	1.432306	N
hsa-mir-320d-1	3	1.074229	N
hsa-mir-320d-2	2	0.716153	N
hsa-mir-320e	0	0.000000	N
hsa-mir-323a	21	7.519605	N
hsa-mir-323b	11	3.938841	N
hsa-mir-324	289	103.484084	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	92	32.943030	N
hsa-mir-328	698	249.937337	N
hsa-mir-329-1	0	0.000000	N
hsa-mir-329-2	0	0.000000	N
hsa-mir-330	199	71.257206	N
hsa-mir-331	162	58.008379	N
hsa-mir-335	109	39.030329	N
hsa-mir-337	29	10.384216	N
hsa-mir-338	28	10.026140	N
hsa-mir-339	519	185.841659	N
hsa-mir-33a	17	6.087299	N
hsa-mir-33b	6	2.148458	N
hsa-mir-340	4	1.432306	N
hsa-mir-342	1129	404.268271	N
hsa-mir-345	121	43.327246	N
hsa-mir-346	1	0.358076	N
hsa-mir-34a	34	12.174598	N
hsa-mir-34b	5	1.790382	N
hsa-mir-34c	17	6.087299	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	34	12.174598	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	26	9.309987	N
hsa-mir-3609	1	0.358076	N
hsa-mir-361	3455	1237.154009	N
hsa-mir-3610	24	8.593834	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	8	2.864611	N
hsa-mir-3614	88	31.510724	N
hsa-mir-3615	208	74.479894	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	4	1.432306	N
hsa-mir-362	51	18.261897	N
hsa-mir-3620	15	5.371146	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	57	20.410356	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	46	16.471515	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	4	1.432306	N
hsa-mir-3652	42	15.039209	N
hsa-mir-3653	35	12.532674	N
hsa-mir-3654	2	0.716153	N
hsa-mir-3655	1	0.358076	N
hsa-mir-3656	0	0.000000	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	383	137.143266	Y
hsa-mir-365b	372	133.204426	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	1	0.358076	N
hsa-mir-3662	1	0.358076	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	0	0.000000	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	1	0.358076	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670-1	0	0.000000	N
hsa-mir-3670-2	0	0.000000	N
hsa-mir-3670-3	0	0.000000	N
hsa-mir-3670-4	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3677	5	1.790382	N
hsa-mir-3678	8	2.864611	N
hsa-mir-3679	1	0.358076	N
hsa-mir-3680-1	0	0.000000	N
hsa-mir-3680-2	2	0.716153	N
hsa-mir-3681	0	0.000000	N
hsa-mir-3682	7	2.506535	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	0	0.000000	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687-1	0	0.000000	N
hsa-mir-3687-2	0	0.000000	N
hsa-mir-3688-1	0	0.000000	N
hsa-mir-3688-2	0	0.000000	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-3689c	0	0.000000	N
hsa-mir-3689d-1	0	0.000000	N
hsa-mir-3689d-2	0	0.000000	N
hsa-mir-3689e	0	0.000000	N
hsa-mir-3689f	0	0.000000	N
hsa-mir-369	4	1.432306	N
hsa-mir-3690-1	8	2.864611	N
hsa-mir-3690-2	0	0.000000	N
hsa-mir-3691	2	0.716153	N
hsa-mir-3692	0	0.000000	N
hsa-mir-370	51	18.261897	N
hsa-mir-3713	0	0.000000	N
hsa-mir-3714	0	0.000000	N
hsa-mir-371a	0	0.000000	N
hsa-mir-371b	0	0.000000	N
hsa-mir-372	8	2.864611	N
hsa-mir-373	1	0.358076	N
hsa-mir-374a	27	9.668063	N
hsa-mir-374b	10	3.580764	N
hsa-mir-374c	0	0.000000	N
hsa-mir-375	1270	454.757045	N
hsa-mir-376a-1	1	0.358076	N
hsa-mir-376a-2	0	0.000000	N
hsa-mir-376b	0	0.000000	N
hsa-mir-376c	4	1.432306	N
hsa-mir-377	24	8.593834	N
hsa-mir-378a	12618	4518.208186	N
hsa-mir-378b	0	0.000000	N
hsa-mir-378c	26	9.309987	N
hsa-mir-378d-1	1	0.358076	N
hsa-mir-378d-2	1	0.358076	N
hsa-mir-378e	0	0.000000	N
hsa-mir-378f	0	0.000000	N
hsa-mir-378g	0	0.000000	N
hsa-mir-378h	0	0.000000	N
hsa-mir-378i	0	0.000000	N
hsa-mir-378j	0	0.000000	N
hsa-mir-379	265	94.890250	N
hsa-mir-380	0	0.000000	N
hsa-mir-381	41	14.681133	N
hsa-mir-382	23	8.235758	N
hsa-mir-383	0	0.000000	N
hsa-mir-384	0	0.000000	N
hsa-mir-3907	3	1.074229	N
hsa-mir-3908	0	0.000000	N
hsa-mir-3909	9	3.222688	N
hsa-mir-3910-1	0	0.000000	N
hsa-mir-3910-2	0	0.000000	N
hsa-mir-3911	2	0.716153	N
hsa-mir-3912	0	0.000000	N
hsa-mir-3913-1	0	0.000000	N
hsa-mir-3913-2	0	0.000000	N
hsa-mir-3914-1	0	0.000000	N
hsa-mir-3914-2	0	0.000000	N
hsa-mir-3915	0	0.000000	N
hsa-mir-3916	0	0.000000	N
hsa-mir-3917	165	59.082608	N
hsa-mir-3918	2	0.716153	N
hsa-mir-3919	0	0.000000	N
hsa-mir-3920	0	0.000000	N
hsa-mir-3921	0	0.000000	N
hsa-mir-3922	11	3.938841	N
hsa-mir-3923	0	0.000000	N
hsa-mir-3924	0	0.000000	N
hsa-mir-3925	0	0.000000	N
hsa-mir-3926-1	0	0.000000	N
hsa-mir-3926-2	0	0.000000	N
hsa-mir-3927	0	0.000000	N
hsa-mir-3928	42	15.039209	N
hsa-mir-3929	0	0.000000	N
