id	filename	md5	size	state
fe335358-a468-49b1-89ec-31e1b5e084bd	72bb1711-cec9-4de1-ad36-80b806dbcdde.mirbase21.mirnas.quantification.txt	7d6a4f51faed7dc9380b876ebb5a90d8	50276	released
72310fb0-edae-4b60-a79b-27f854c4d0bf	67fa2b74-1d06-4b15-8bfe-a08e29431ce3.mirbase21.mirnas.quantification.txt	1b418c33b1c76a6027be933fc88a143c	50383	released
59b53260-b14e-49cf-a6b2-614e8809a4b2	ceb79962-e419-490c-83ee-644ce47148f1.mirbase21.mirnas.quantification.txt	f8ba274f2dc329b444f42f72395525b9	50322	released
0154d4ed-e3c5-4c89-b9d4-63215247c4ee	7a59b2a1-3365-4434-bddc-2c0e730c7d97.mirbase21.mirnas.quantification.txt	b9e12e7e672bf090e161bd14cc4fe2be	50272	released
46a874f0-5856-4488-8726-aa63062dd5a7	2b0531d9-2d33-42a8-b099-e0456a936dda.mirbase21.mirnas.quantification.txt	315fe4147b20bb448a091e307ffa73f2	50177	released
c6461f77-415a-46ae-b32c-966aa0bfd81d	45756607-9aec-4c04-9b00-e80f376c9acc.mirbase21.mirnas.quantification.txt	e6c9b4836981fc601e8d4b7e1dc75d15	50245	released
0ec8d28d-61a2-4089-8b00-c6cb9e609a86	679bd947-b931-4766-8553-850bbf4059a8.mirbase21.mirnas.quantification.txt	a5a92f67d16ef7d4b87ceaf417991f30	50244	released
b81e180e-b147-47ad-9086-ca8be07745e7	eee088d9-15c7-48ca-9ca8-5b257ca0fff3.mirbase21.mirnas.quantification.txt	28dd5271faa9cab9d9181f4fc9fd205d	50257	released
9764139d-0489-45ef-8d72-3e4ec34e9d77	5e05c0be-ff8b-4a94-9fea-0bd58a057d77.mirbase21.mirnas.quantification.txt	9db2a77a37f9aaf8792600a7992877ae	50197	released
f62d2561-43ed-47d0-9f76-bb47f129c227	24200515-4834-416b-bcaa-3831dd57f416.mirbase21.mirnas.quantification.txt	33afaee9261f1c5c9d8df482e2661ea3	50255	released
0ea9f46a-aea3-4911-affd-d17461054980	8886ce28-b871-4bf4-b6a4-01e4bc81198f.mirbase21.mirnas.quantification.txt	3412dab7e7359766f4887a189e1389b5	50235	released
57345c87-7ad8-4517-813a-412dc20afe25	67735db1-cb6f-4ff9-9feb-7c3c6c872a8f.mirbase21.mirnas.quantification.txt	05f13c83a1cd3c16663ab1846a423958	50211	released
47ce2458-691e-42e1-b2a7-4c5f196a860b	c455e172-1ea6-4fa2-b4c2-d5d65581497f.mirbase21.mirnas.quantification.txt	5c44cc55b5bacd5bcbafe307578d8482	50178	released
68110a1b-7e56-4e46-b928-b51b1633bc0d	47d9a71f-8a31-4563-9d16-e7a7329faca7.mirbase21.mirnas.quantification.txt	298e2c2044aab00d45235818622c0962	50323	released
fd0989dc-33fd-435c-99c4-6c87233cd949	279c1963-8a48-4a9b-999f-684e881937c1.mirbase21.mirnas.quantification.txt	18cd69be44399cc72a2e4a5d84540a22	50341	released
57a181f3-799d-452f-85e6-830cc0e77b15	38ba6d1f-e64e-4830-8c5a-3a397626698e.mirbase21.mirnas.quantification.txt	d0daa137a590f06f174a859705803f97	50514	released
b85232c9-8b7f-41c7-ba3a-93d74493384f	241173a0-9600-467d-9b3c-9f8ee3915eed.mirbase21.mirnas.quantification.txt	be861c6b3329b10ed7a6469fa1276cce	50184	released
d5e17478-f88e-4e3d-baff-b02ce63a8863	93ff93f2-f66e-4c52-9bee-e9d7f01ce532.mirbase21.mirnas.quantification.txt	77404c398f2f5ad9b7db977f55a6258a	50077	released
a79fcc4d-5704-4437-90dd-84f097afffce	02669c58-a134-4e46-8b55-523d8dd75b15.mirbase21.mirnas.quantification.txt	58d847b34e686bcafeacddd027048b4f	50709	released
ffb48ad2-d114-4747-9796-5d8021c6c1c8	3ededfd0-0bb8-4cfe-8a4c-037cb8e09982.mirbase21.mirnas.quantification.txt	bd26922e23e160ae6de2d3258b1b1b10	50146	released
efdc99c0-e814-4e13-a6c7-df5b55ff468a	5d536620-5689-4acd-8e72-c26f595b1856.mirbase21.mirnas.quantification.txt	9b236cf3205c784f0dec8578b3be37f1	50345	released
4758122b-c70b-4f31-b7fa-88a64ae07d7c	8eab564c-4491-4987-85d3-05a7188ca855.mirbase21.mirnas.quantification.txt	e653d837b49a8a50ff7d15b30aaf8097	50204	released
c8059903-096e-418d-a12b-49fea17d5e9e	f2ad0c85-f39a-47df-8ca1-7165512d726a.mirbase21.mirnas.quantification.txt	d42defb69c7d2daaa40fa4edd510ca9b	50072	released
ec0b4a76-612b-4fb2-9db1-3d0ca5cf95ae	cfc7d410-0e57-498f-bf4d-7bb9bda50390.mirbase21.mirnas.quantification.txt	04a9ed58a5a50ec4269dd6ed6283ef45	50383	released
34ccbefa-128b-42eb-85b7-4a1742be3f42	3e0a1f8c-bbcb-4eed-994a-711711b383fa.mirbase21.mirnas.quantification.txt	1ce3b4f66eaa822d06c97a0c3a014edc	50262	released
8ab85ced-16b0-4a8b-b441-66b49a4dc092	8db08530-a90d-4277-aaf2-2834808e357b.mirbase21.mirnas.quantification.txt	a8fbcd759e29c109fb770adac8970cb6	50381	released
ee6f3b0f-61b6-4f09-8a7c-93f2f67b3888	8bc1d180-09a7-481e-83b0-f62cc34f1b91.mirbase21.mirnas.quantification.txt	b249aef7c55452a107f48758328056db	50290	released
35bae242-4a87-45d7-8e0f-7b5e908046fd	8efcea54-1026-482f-bec4-e1b2db82b71c.mirbase21.mirnas.quantification.txt	78e71d9c8cb22e45a96e9d041a8160c4	50212	released
